Idx,Listinginfo1,LogInfo1,LogInfo2,LogInfo3
3,2013-11-5,1,0,2013-8-30
3,2013-11-5,1,1,2013-8-30
3,2013-11-5,1,2,2013-10-23
3,2013-11-5,1,4,2013-8-30
3,2013-11-5,2,1,2013-8-30
3,2013-11-5,2,7,2013-10-31
3,2013-11-5,4,1,2013-8-30
3,2013-11-5,-4,6,2013-8-30
3,2013-11-5,-4,6,2013-8-30
3,2013-11-5,-4,6,2013-8-30
3,2013-11-5,-4,6,2013-8-30
3,2013-11-5,-4,6,2013-8-31
3,2013-11-5,-4,6,2013-9-3
3,2013-11-5,-4,6,2013-9-4
3,2013-11-5,-4,6,2013-10-23
3,2013-11-5,-4,6,2013-10-24
3,2013-11-5,-4,6,2013-10-31
3,2013-11-5,-4,6,2013-10-31
3,2013-11-5,-4,6,2013-10-31
3,2013-11-5,-4,6,2013-10-31
3,2013-11-5,-4,6,2013-11-1
3,2013-11-5,-4,6,2013-11-1
3,2013-11-5,4,7,2013-10-23
3,2013-11-5,4,7,2013-10-24
3,2013-11-5,4,7,2013-10-31
3,2013-11-5,4,7,2013-10-31
5,2013-11-7,-10,13,2013-10-24
5,2013-11-7,1,0,2013-10-24
5,2013-11-7,1,1,2013-10-24
5,2013-11-7,1,2,2013-10-24
5,2013-11-7,2,1,2013-10-24
5,2013-11-7,3,1,2013-10-24
5,2013-11-7,4,1,2013-10-24
5,2013-11-7,-4,6,2013-10-24
5,2013-11-7,-4,6,2013-10-29
5,2013-11-7,-4,6,2013-10-30
5,2013-11-7,-4,6,2013-11-6
8,2013-11-6,-10,13,2013-11-5
8,2013-11-6,1,0,2013-10-25
8,2013-11-6,1,1,2013-10-25
8,2013-11-6,1,2,2013-10-25
8,2013-11-6,1,4,2013-10-31
8,2013-11-6,2,1,2013-10-25
8,2013-11-6,2,21,2013-11-6
8,2013-11-6,3,1,2013-11-5
8,2013-11-6,4,1,2013-10-25
8,2013-11-6,-4,6,2013-10-25
8,2013-11-6,-4,6,2013-10-25
8,2013-11-6,-4,6,2013-10-25
8,2013-11-6,-4,6,2013-10-25
8,2013-11-6,-4,6,2013-10-25
8,2013-11-6,-4,6,2013-10-25
8,2013-11-6,-4,6,2013-10-26
8,2013-11-6,-4,6,2013-10-26
8,2013-11-6,-4,6,2013-10-26
8,2013-11-6,-4,6,2013-10-26
8,2013-11-6,-4,6,2013-10-26
8,2013-11-6,-4,6,2013-10-26
8,2013-11-6,-4,6,2013-10-26
8,2013-11-6,-4,6,2013-10-27
8,2013-11-6,-4,6,2013-10-27
8,2013-11-6,-4,6,2013-10-27
8,2013-11-6,-4,6,2013-10-27
8,2013-11-6,-4,6,2013-10-28
8,2013-11-6,-4,6,2013-10-28
8,2013-11-6,-4,6,2013-10-28
8,2013-11-6,-4,6,2013-10-28
8,2013-11-6,-4,6,2013-10-28
8,2013-11-6,-4,6,2013-10-28
8,2013-11-6,-4,6,2013-10-28
8,2013-11-6,-4,6,2013-10-29
8,2013-11-6,-4,6,2013-10-29
8,2013-11-6,-4,6,2013-10-29
8,2013-11-6,-4,6,2013-10-29
8,2013-11-6,-4,6,2013-10-29
8,2013-11-6,-4,6,2013-10-29
8,2013-11-6,-4,6,2013-10-29
8,2013-11-6,-4,6,2013-10-29
8,2013-11-6,-4,6,2013-10-29
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-30
8,2013-11-6,-4,6,2013-10-31
8,2013-11-6,-4,6,2013-10-31
8,2013-11-6,-4,6,2013-10-31
8,2013-11-6,-4,6,2013-10-31
8,2013-11-6,-4,6,2013-10-31
8,2013-11-6,-4,6,2013-10-31
8,2013-11-6,-4,6,2013-10-31
8,2013-11-6,-4,6,2013-10-31
8,2013-11-6,-4,6,2013-10-31
8,2013-11-6,-4,6,2013-10-31
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-1
8,2013-11-6,-4,6,2013-11-2
8,2013-11-6,-4,6,2013-11-2
8,2013-11-6,-4,6,2013-11-2
8,2013-11-6,-4,6,2013-11-2
8,2013-11-6,-4,6,2013-11-2
8,2013-11-6,-4,6,2013-11-2
8,2013-11-6,-4,6,2013-11-2
8,2013-11-6,-4,6,2013-11-3
8,2013-11-6,-4,6,2013-11-3
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-4
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-5
8,2013-11-6,-4,6,2013-11-6
8,2013-11-6,-4,6,2013-11-6
8,2013-11-6,-4,6,2013-11-6
8,2013-11-6,-4,6,2013-11-6
8,2013-11-6,-4,6,2013-11-6
8,2013-11-6,99,6,2013-10-31
8,2013-11-6,99,6,2013-11-2
8,2013-11-6,99,6,2013-11-2
8,2013-11-6,99,6,2013-11-2
8,2013-11-6,99,6,2013-11-4
8,2013-11-6,99,6,2013-11-4
8,2013-11-6,99,6,2013-11-6
12,2013-11-1,10,0,2012-12-8
12,2013-11-1,100,6,2013-10-2
12,2013-11-1,100,6,2013-10-3
12,2013-11-1,100,6,2013-10-22
12,2013-11-1,100,6,2013-10-26
12,2013-11-1,100,6,2013-10-26
12,2013-11-1,100,6,2013-10-27
12,2013-11-1,100,6,2013-10-27
12,2013-11-1,100,6,2013-10-27
12,2013-11-1,100,6,2013-10-28
12,2013-11-1,100,6,2013-10-28
12,2013-11-1,-10,13,2013-10-2
12,2013-11-1,1,1,2012-12-8
12,2013-11-1,1,20,2012-12-8
12,2013-11-1,1,2,2013-10-26
12,2013-11-1,1,6,2012-12-8
12,2013-11-1,2,11,2013-10-29
12,2013-11-1,2,11,2013-10-31
12,2013-11-1,2,1,2012-12-8
12,2013-11-1,2,3,2012-12-8
12,2013-11-1,2,3,2013-10-2
12,2013-11-1,2,3,2013-10-2
12,2013-11-1,2,3,2013-10-22
12,2013-11-1,2,3,2013-10-22
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-29
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-30
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-10-31
12,2013-11-1,2,3,2013-11-1
