Idx,ListingInfo1,UserupdateInfo1,UserupdateInfo2
3,2013-11-5,_EducationId,2013-8-30
3,2013-11-5,_HasBuyCar,2013-8-30
3,2013-11-5,_IdNumber,2013-8-30
3,2013-11-5,_LastUpdateDate,2013-8-30
3,2013-11-5,_MarriageStatusId,2013-8-30
3,2013-11-5,_MobilePhone,2013-8-30
3,2013-11-5,_MobilePhone,2013-8-30
3,2013-11-5,_QQ,2013-8-30
3,2013-11-5,_RealName,2013-8-30
3,2013-11-5,_ResidencePhone,2013-8-30
3,2013-11-5,_ResidenceTypeId,2013-8-30
3,2013-11-5,_ResidenceTypeId,2013-8-30
3,2013-11-5,_ResidenceYears,2013-8-30
5,2013-11-7,_EducationId,2013-10-24
5,2013-11-7,_HasBuyCar,2013-10-24
5,2013-11-7,_IdNumber,2013-10-24
5,2013-11-7,_LastUpdateDate,2013-10-24
5,2013-11-7,_LastUpdateDate,2013-10-24
5,2013-11-7,_MarriageStatusId,2013-10-24
5,2013-11-7,_MobilePhone,2013-10-24
5,2013-11-7,_MobilePhone,2013-10-24
5,2013-11-7,_QQ,2013-10-24
5,2013-11-7,_RealName,2013-10-24
5,2013-11-7,_ResidencePhone,2013-10-24
5,2013-11-7,_ResidenceTypeId,2013-10-24
5,2013-11-7,_ResidenceYears,2013-10-24
8,2013-11-6,_EducationId,2013-10-25
8,2013-11-6,_HasBuyCar,2013-10-25
8,2013-11-6,_IdNumber,2013-10-25
8,2013-11-6,_LastUpdateDate,2013-10-25
8,2013-11-6,_MarriageStatusId,2013-10-25
8,2013-11-6,_MobilePhone,2013-10-25
8,2013-11-6,_MobilePhone,2013-10-25
8,2013-11-6,_mobilePhone,2013-11-4
8,2013-11-6,_mobilePhone,2013-11-4
8,2013-11-6,_QQ,2013-10-25
8,2013-11-6,_RealName,2013-10-25
8,2013-11-6,_ResidencePhone,2013-10-25
8,2013-11-6,_ResidenceTypeId,2013-10-25
8,2013-11-6,_ResidenceYears,2013-10-25
12,2013-11-1,_age,2012-12-8
12,2013-11-1,_Age,2013-10-2
12,2013-11-1,_EducationId,2013-10-2
12,2013-11-1,_gender,2012-12-8
12,2013-11-1,_HasBuyCar,2013-10-2
12,2013-11-1,_idNumber,2012-12-8
12,2013-11-1,_LastUpdateDate,2013-10-2
12,2013-11-1,_MarriageStatusId,2013-10-2
12,2013-11-1,_mobilePhone,2012-12-8
12,2013-11-1,_QQ,2013-10-2
12,2013-11-1,_realName,2012-12-8
12,2013-11-1,_ResidencePhone,2013-10-2
12,2013-11-1,_ResidenceTypeId,2013-10-2
12,2013-11-1,_ResidenceYears,2013-10-2
16,2013-11-5,_EducationId,2013-10-27
16,2013-11-5,_HasBuyCar,2013-10-27
16,2013-11-5,_IdNumber,2013-10-27
16,2013-11-5,_LastUpdateDate,2013-10-27
16,2013-11-5,_MarriageStatusId,2013-10-27
16,2013-11-5,_MobilePhone,2013-10-27
16,2013-11-5,_MobilePhone,2013-10-27
16,2013-11-5,_mobilePhone,2013-11-5
16,2013-11-5,_QQ,2013-10-27
16,2013-11-5,_RealName,2013-10-27
16,2013-11-5,_ResidencePhone,2013-10-27
16,2013-11-5,_ResidenceTypeId,2013-10-27
16,2013-11-5,_ResidenceYears,2013-10-27
17,2013-11-5,_EducationId,2013-10-27
17,2013-11-5,_HasBuyCar,2013-10-27
17,2013-11-5,_IdNumber,2013-10-27
17,2013-11-5,_LastUpdateDate,2013-10-27
17,2013-11-5,_MarriageStatusId,2013-10-27
17,2013-11-5,_MobilePhone,2013-10-27
17,2013-11-5,_mobilePhone,2013-11-4
17,2013-11-5,_QQ,2013-10-27
17,2013-11-5,_RealName,2013-10-27
17,2013-11-5,_ResidencePhone,2013-10-27
17,2013-11-5,_ResidenceTypeId,2013-10-27
17,2013-11-5,_ResidenceYears,2013-10-27
18,2013-11-1,_EducationId,2013-10-27
18,2013-11-1,_HasBuyCar,2013-10-27
18,2013-11-1,_IdNumber,2013-10-27
18,2013-11-1,_LastUpdateDate,2013-10-27
18,2013-11-1,_MarriageStatusId,2013-10-27
18,2013-11-1,_MobilePhone,2013-10-27
18,2013-11-1,_MobilePhone,2013-10-27
18,2013-11-1,_QQ,2013-10-27
18,2013-11-1,_RealName,2013-10-27
18,2013-11-1,_ResidencePhone,2013-10-27
18,2013-11-1,_ResidenceTypeId,2013-10-27
18,2013-11-1,_ResidenceYears,2013-10-27
20,2013-11-1,_EducationId,2013-10-27
20,2013-11-1,_HasBuyCar,2013-10-27
20,2013-11-1,_IdNumber,2013-10-27
20,2013-11-1,_LastUpdateDate,2013-10-27
20,2013-11-1,_MarriageStatusId,2013-10-27
20,2013-11-1,_MobilePhone,2013-10-27
20,2013-11-1,_MobilePhone,2013-10-27
20,2013-11-1,_mobilePhone,2013-11-1
20,2013-11-1,_mobilePhone,2013-11-1
20,2013-11-1,_QQ,2013-10-27
20,2013-11-1,_RealName,2013-10-27
20,2013-11-1,_ResidencePhone,2013-10-27
20,2013-11-1,_ResidenceTypeId,2013-10-27
20,2013-11-1,_ResidenceYears,2013-10-27
21,2013-11-1,_EducationId,2013-10-28
21,2013-11-1,_HasBuyCar,2013-10-28
21,2013-11-1,_IdNumber,2013-10-28
21,2013-11-1,_LastUpdateDate,2013-10-28
21,2013-11-1,_MarriageStatusId,2013-10-28
21,2013-11-1,_MobilePhone,2013-10-28
21,2013-11-1,_MobilePhone,2013-10-28
21,2013-11-1,_QQ,2013-10-28
21,2013-11-1,_RealName,2013-10-28
21,2013-11-1,_ResidencePhone,2013-10-28
21,2013-11-1,_ResidenceTypeId,2013-10-28
21,2013-11-1,_ResidenceYears,2013-10-28
23,2013-11-1,_EducationId,2013-9-16
23,2013-11-1,_HasBuyCar,2013-9-16
23,2013-11-1,_IdNumber,2013-9-16
23,2013-11-1,_LastUpdateDate,2013-9-16
23,2013-11-1,_MarriageStatusId,2013-9-16
23,2013-11-1,_MobilePhone,2013-9-7
23,2013-11-1,_mobilePhone,2013-9-23
23,2013-11-1,_QQ,2013-9-16
23,2013-11-1,_RealName,2013-9-16
23,2013-11-1,_regStepId,2013-8-11
23,2013-11-1,_ResidencePhone,2013-9-16
23,2013-11-1,_ResidenceTypeId,2013-9-16
23,2013-11-1,_ResidenceYears,2013-9-16
29,2013-11-1,_ByUserId,2013-10-28
29,2013-11-1,_EducationId,2013-10-28
29,2013-11-1,_HasBuyCar,2013-10-28
29,2013-11-1,_IdNumber,2013-10-28
29,2013-11-1,_LastUpdateDate,2013-10-28
29,2013-11-1,_MarriageStatusId,2013-10-28
29,2013-11-1,_MobilePhone,2013-10-28
29,2013-11-1,_MobilePhone,2013-10-28
29,2013-11-1,_mobilePhone,2013-10-31
29,2013-11-1,_mobilePhone,2013-10-31
29,2013-11-1,_Phone,2013-10-28
29,2013-11-1,_QQ,2013-10-28
29,2013-11-1,_RealName,2013-10-28
29,2013-11-1,_RealName,2013-10-28
29,2013-11-1,_ResidencePhone,2013-10-28
29,2013-11-1,_ResidenceTypeId,2013-10-28
29,2013-11-1,_ResidenceYears,2013-10-28
31,2013-11-5,_EducationId,2013-10-28
31,2013-11-5,_HasBuyCar,2013-10-28
31,2013-11-5,_IdNumber,2013-10-28
31,2013-11-5,_LastUpdateDate,2013-10-28
31,2013-11-5,_MarriageStatusId,2013-10-28
31,2013-11-5,_MobilePhone,2013-10-28
31,2013-11-5,_MobilePhone,2013-10-28
31,2013-11-5,_mobilePhone,2013-11-5
31,2013-11-5,_QQ,2013-10-28
31,2013-11-5,_RealName,2013-10-28
31,2013-11-5,_ResidencePhone,2013-10-28
31,2013-11-5,_ResidenceTypeId,2013-10-28
31,2013-11-5,_ResidenceYears,2013-10-28
33,2013-11-1,_Age,2013-10-28
33,2013-11-1,_flag_UCtoBcp,2013-10-28
33,2013-11-1,_flag_UCtoBcp,2013-10-28
33,2013-11-1,_flag_UCtoPVR,2013-10-28
33,2013-11-1,_flag_UCtoPVR,2013-10-28
33,2013-11-1,_MobilePhone,2013-10-28
33,2013-11-1,_mobilePhone,2013-10-30
33,2013-11-1,_mobilePhone,2013-10-30
33,2013-11-1,_Phone,2013-10-28
33,2013-11-1,_Phone,2013-10-28
33,2013-11-1,_QQ,2013-10-28
33,2013-11-1,_RealName,2013-10-28
33,2013-11-1,_RealName,2013-10-28
33,2013-11-1,_RelationshipId,2013-10-28
33,2013-11-1,_ResidencePhone,2013-10-28
33,2013-11-1,_ResidenceTypeId,2013-10-28
33,2013-11-1,_ResidenceYears,2013-10-28
35,2013-11-5,_EducationId,2013-10-21
